	T046B4	T046B4_Control	T037A2	T037A2_Control	T037	T037_Control	T068C1	T068C1_Control	T023D3	T023D3_Control	T073A2	T073A2_Control	T073A1	T073A1_Control	T101B	T101B_Control	T100F	T100F_Control	T101A	T101A_Control	T060D	T060D_Control	T060E	T060E_Control
Genus_1	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	0	0	0	0
Genus_2	1	13	6	13	0	15	0	0	0	0	0	0	0	0	11	5	0	5	8	5	0	5	6	5
Genus_3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_4	0	0	0	0	7	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1
Genus_5	108	113	98	113	420	618	53	16	9	0	0	0	3	0	84	82	42	82	193	82	41	27	44	27
Genus_6	7	5	13	5	12	36	0	16	0	0	0	0	0	0	6	9	4	9	19	9	13	0	6	0
Genus_7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Genus_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Genus_9	0	5	8	5	0	0	2	12	4	0	6	0	0	0	14	2	10	2	0	2	2	6	4	6
Genus_10	0	0	0	0	0	0	0	0	0	3	2	3	0	3	0	0	0	0	0	0	0	0	0	0
Genus_11	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_12	4	0	0	0	4	6	0	8	0	0	0	0	0	0	0	0	3	0	5	0	2	0	1	0
Genus_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0
Genus_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Genus_15	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Genus_16	17	31	8	31	21	2	13	0	4	0	3	0	15	0	3	0	0	0	1	0	7	1	0	1
Genus_17	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_18	0	7	0	7	0	7	0	0	0	0	0	0	0	0	4	8	5	8	4	8	7	0	0	0
Genus_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Genus_20	0	0	0	0	0	0	0	21	0	0	8	0	0	0	6	0	8	0	0	0	3	0	2	0
