	CA122A2_Control	CA122A2	CA10_Control	CA10	CA58A1_Control	CA58A1	CA50B_Control	CA50B	CA51A3A_Control	CA51A3A	CA51A3_Control	CA51A3
Genus_1	1	0	0	0	0	0	0	0	0	0	0	0
Genus_2	0	0	0	0	0	0	0	0	0	0	1	0
Genus_3	0	13	0	0	0	0	0	0	0	0	0	0
Genus_4	0	0	0	0	0	0	7	0	0	0	0	0
Genus_5	0	0	1	0	0	0	0	0	0	3	0	0
Genus_6	0	0	0	0	0	11	0	0	0	0	0	0
Genus_7	0	0	0	0	6	4	0	0	0	0	0	0
Genus_8	0	0	0	0	0	0	13	0	13	0	1	18
Genus_9	0	0	0	0	2	3	0	0	0	0	0	0
Genus_10	1	3	0	0	7	0	0	0	0	0	0	0
Genus_11	0	3	12	18	0	0	9	71	0	16	13	12
Genus_12	419	552	7551	4115	385	427	1269	1311	1158	694	1346	772
Genus_13	0	0	1	0	0	0	0	0	0	0	0	0
Genus_14	4	0	0	0	0	0	0	0	0	3	0	0
Genus_15	0	0	3	6	0	0	0	29	0	0	0	0
Genus_16	0	0	0	0	4	0	0	0	0	3	3	0
Genus_17	0	0	0	0	0	0	75	5	72	95	118	189
Genus_18	64	0	0	0	0	0	0	0	0	0	0	0
Genus_19	767	791	20	184	256	183	963	122	950	150	733	472
Genus_20	0	0	0	3	0	13	0	21	0	0	0	0
Genus_21	0	0	0	0	0	0	0	0	0	0	5	0
Genus_22	0	0	0	0	0	0	0	0	0	0	3	0
Genus_23	0	0	8	0	0	0	0	0	0	0	0	0
Genus_24	0	0	0	0	0	0	0	0	5	0	0	0
Genus_25	23	101	419	461	0	5	68	48	45	58	66	87
Genus_26	0	0	0	0	0	0	5	0	0	0	0	0
Genus_27	0	0	16	0	4	0	0	0	73	0	3	2
Genus_28	8	14	3	0	12	3	120	42	0	88	74	134
Genus_29	0	0	0	0	0	0	12	0	10	17	11	7
Genus_30	0	0	9	0	0	0	8	0	57	4	16	10
Genus_31	0	1	1393	1487	0	2	25	149	10	13	23	19
Genus_32	0	0	0	0	0	0	0	0	9	0	0	0
Genus_33	0	0	0	0	0	0	1	14	0	6	1	9
Genus_34	2	0	0	0	0	0	0	0	0	6	0	0
Genus_35	0	3	0	0	35	16	0	6	0	0	0	0
Genus_36	0	0	0	0	0	0	0	0	2	0	0	0
Genus_37	0	0	0	0	1	0	17	4	3	11	20	8
Genus_38	0	0	0	0	0	0	6	0	0	0	0	0
Genus_39	40	0	0	0	0	0	0	0	0	0	0	0
Genus_40	0	6	0	0	0	0	0	14	0	0	0	0
Genus_41	0	0	8	27	0	0	0	0	0	0	0	0
Genus_42	31	21	0	0	19	24	0	5	0	11	0	0
Genus_43	14	32	3	24	78	224	3	106	0	6	7	2
Genus_44	0	0	0	0	0	4	0	0	0	0	0	0
Genus_45	2532	2931	53	687	3687	3443	2587	780	2984	1449	2725	2491
Genus_46	0	0	0	0	0	0	2	0	0	0	0	0
Genus_47	0	0	0	0	0	0	0	0	0	0	0	6
Genus_48	0	0	0	0	0	0	0	0	0	0	0	9
Genus_49	21	0	0	0	0	0	0	0	0	0	0	0
Genus_50	2149	2262	30	47	54	106	1946	244	507	317	2020	2925
Genus_51	24	14	7	0	44	21	17	0	45	185	0	0
Genus_52	10	19	6	3	191	254	5	62	0	0	0	0
Genus_53	0	0	0	0	0	4	0	3	0	0	0	0
Genus_54	433	420	5	40	725	701	106	101	151	64	127	194
Genus_55	0	0	0	0	3	0	0	3	0	0	0	0
Genus_56	0	0	0	0	0	4	0	0	0	3	0	0
Genus_57	0	0	0	0	0	0	0	0	0	0	0	0
Genus_58	16	15	0	0	7	41	1	0	6	0	3	7
Genus_59	0	2	0	0	0	0	0	0	0	0	0	0
Genus_60	0	3	0	0	2	0	0	0	3	3	0	0
Genus_61	0	0	0	0	0	0	0	0	0	0	4	0
Genus_62	0	0	0	0	0	0	1	0	0	0	0	0
Genus_63	0	0	0	0	0	0	0	0	0	0	0	3
Genus_64	0	0	0	0	94	132	0	0	0	0	0	0
Genus_65	2	0	30	17	0	0	20	53	10	15	12	17
Genus_66	0	0	0	0	0	0	0	0	0	13	0	0
Genus_67	0	0	0	0	0	0	0	0	0	0	5	0
Genus_68	28	47	0	0	39	26	75	0	9	13	95	126
Genus_69	672	558	16	161	630	644	754	428	618	343	673	839
Genus_70	0	0	0	0	0	0	1	0	0	0	0	5
Genus_71	0	0	0	31	0	0	0	0	0	0	0	0
Genus_72	0	0	0	0	0	0	0	0	0	5	0	0
Genus_73	17	13	3	3	36	60	23	68	18	4	45	51
Genus_74	198	107	183	63	218	173	154	419	0	53	159	289
Genus_75	0	22	0	17	0	0	19	3	0	0	12	6
Genus_76	0	0	0	0	8	0	0	0	0	0	0	0
Genus_77	0	0	0	0	0	0	0	0	1	0	0	0
Genus_78	0	0	0	0	0	0	0	0	0	0	2	0
Genus_79	0	0	0	0	0	0	5	0	0	60	0	0
Genus_80	0	0	0	0	3	0	0	0	0	0	0	0
Genus_81	0	0	0	0	0	0	0	0	6	0	0	0
Genus_82	0	0	0	0	0	4	0	0	0	0	0	0
Genus_83	1	0	0	11	0	37	0	25	0	3	5	23
Genus_84	0	0	0	0	0	0	0	0	0	6	0	0
Genus_85	0	0	6	0	0	0	0	0	0	0	0	0
Genus_86	0	0	0	0	0	0	2	0	0	0	0	1
Genus_87	103	79	6	15	66	44	138	12	4	0	131	53
Genus_88	18	5	0	0	15	29	25	0	2	0	40	25
Genus_89	0	0	0	0	2	3	0	0	0	0	0	0
Genus_90	61	53	3	0	526	218	0	10	0	0	0	0
Genus_91	0	0	0	0	0	0	0	0	0	10	0	0
