"Taxon","sumFP","sumBL"
"Acetobacteraceae",2,4
"Acidaminococcaceae",3,2
"Aeromonadaceae",4,3
"Ahrensiaceae",7,2
"Akkermansiaceae",1,1
"Alcaligenaceae",4,3
"Alcanivoracaceae",1,0
"Alteromonadaceae",2,3
"Alteromonadales_incertae_sedis",4,2
"Anaerohalosphaeraceae",5,2
"Anaeroplasmataceae",1,0
"Ancalomicrobiaceae",1,0
"Arcobacteraceae",8,9
"Arenicellaceae",5,4
"Armatimonadaceae",1,1
"Atribacteria_genera_incertae_sedis",1,2
"Azonexaceae",4,1
"BRC1_genera_incertae_sedis",1,0
"Bacillales_Incertae Sedis XI",1,0
"Bacteriovoracaceae",0,1
"Bacteroidaceae",33,21
"Barnesiellaceae",1,2
"Bdellovibrionaceae",2,1
"Beijerinckiaceae",2,3
"Bifidobacteriaceae",3,3
"Bradymonadaceae",1,0
"Bradyrhizobiaceae",5,6
"Burkholderiaceae",21,17
"Burkholderiales_incertae_sedis",1,1
"Candidatus Carsonella",0,1
"Candidatus Cloacamonas",2,0
"Candidatus Hydrogenedens",5,3
"Carnobacteriaceae",4,2
"Casimicrobiaceae",0,1
"Caulobacteraceae",7,3
"Cellulomonadaceae",1,0
"Cellvibrionaceae",3,3
"Chitinophagaceae",16,19
"Chloroplast",146,151
"Chromobacteriaceae",0,2
"Clostridiaceae 1",12,10
"Clostridiales_Incertae Sedis XI",2,1
"Clostridiales_Incertae Sedis XII",0,1
"Clostridiales_Incertae Sedis XIII",2,1
"Colwelliaceae",22,18
"Comamonadaceae",40,42
"Coprothermobacteraceae",2,2
"Coriobacteriaceae",1,1
"Coxiellaceae",35,28
"Cryomorphaceae",37,29
"Cyclobacteriaceae",1,0
"Cytophagaceae",7,8
"Deferribacteraceae",1,1
"Deferrisoma",0,1
"Desulfobacteraceae",5,6
"Desulfobulbaceae",9,4
"Desulfovibrionaceae",2,1
"Desulfuromonadaceae",2,1
"Devosiaceae",5,2
"Dysgonomonadaceae",3,0
"Echinimonas",1,0
"Eggerthellaceae",1,1
"Emcibacteraceae",3,3
"Endozoicomonadaceae",0,1
"Enterobacteriaceae",1,2
"Enterococcaceae",1,1
"Erysipelatoclostridiaceae",1,1
"Erysipelotrichaceae",6,6
"Erythrobacteraceae",15,9
"Eubacteriaceae",2,2
"Family II",20,25
"Family XIII",2,1
"Ferrimonadaceae",1,0
"Fervidobacteriaceae",1,0
"Flammeovirgaceae",0,1
"Flavobacteriaceae",199,136
"Francisellaceae",2,2
"Frankiaceae",1,1
"Fulvivirgaceae",3,3
"Fusobacteriaceae",10,8
"Gaiellaceae",1,0
"Gallionellaceae",1,0
"Gemmataceae",0,4
"Gemmatimonadaceae",2,2
"Geobacteraceae",1,1
"Gp10",9,4
"Gp22",1,3
"Gp23",9,4
"Gp25",0,1
"Gp3",2,0
"Gp5",3,3
"Gp6",19,7
"Gp7",1,0
"Granulosicoccaceae",2,0
"Halieaceae",17,14
"Halobacteriovoraceae",9,5
"Holophagaceae",1,2
"Hyphomicrobiaceae",8,4
"Hyphomonadaceae",3,3
"Iamiaceae",2,3
"Ignatzschineria",0,1
"Ignavibacteriaceae",1,2
"Ilumatobacteraceae",7,7
"Isosphaeraceae",2,2
"Kaistiaceae",1,1
"Kiritimatiellaceae",6,3
"Kordiimonadaceae",0,1
"Lachnospiraceae",47,35
"Lacipirellulaceae",6,6
"Lactobacillaceae",1,1
