"Taxon","sumFP","sumBL","Order","Genus"
"Acidaminococcales;Acidaminococcus",1,0,"Acidaminococcales","Acidaminococcus"
"Acidaminococcales;Phascolarctobacterium",2,2,"Acidaminococcales","Phascolarctobacterium"
"Acidimicrobiales;Actinomarinicola",1,3,"Acidimicrobiales","Actinomarinicola"
"Acidimicrobiales;Desertimonas",1,1,"Acidimicrobiales","Desertimonas"
"Acidimicrobiales;Ilumatobacter",6,5,"Acidimicrobiales","Ilumatobacter"
"Aeromonadales;Aeromonas",1,2,"Aeromonadales","Aeromonas"
"Aeromonadales;Pseudaeromonas",2,0,"Aeromonadales","Pseudaeromonas"
"Aeromonadales;Tolumonas",1,1,"Aeromonadales","Tolumonas"
"Alteromonadales;Agarivorans",0,1,"Alteromonadales","Agarivorans"
"Alteromonadales;Aliiglaciecola",1,0,"Alteromonadales","Aliiglaciecola"
"Alteromonadales;Catenovulum",0,1,"Alteromonadales","Catenovulum"
"Alteromonadales;Colwellia",18,17,"Alteromonadales","Colwellia"
"Alteromonadales;Echinimonas",1,0,"Alteromonadales","Echinimonas"
"Alteromonadales;Ferrimonas",1,0,"Alteromonadales","Ferrimonas"
"Alteromonadales;Moritella",2,1,"Alteromonadales","Moritella"
"Alteromonadales;Paraglaciecola",1,1,"Alteromonadales","Paraglaciecola"
"Alteromonadales;Paramoritella",1,1,"Alteromonadales","Paramoritella"
"Alteromonadales;Pseudoalteromonas",2,0,"Alteromonadales","Pseudoalteromonas"
"Alteromonadales;Psychrobium",4,2,"Alteromonadales","Psychrobium"
"Alteromonadales;Psychromonas",8,7,"Alteromonadales","Psychromonas"
"Alteromonadales;Psychrosphaera",0,1,"Alteromonadales","Psychrosphaera"
"Alteromonadales;Shewanella",5,0,"Alteromonadales","Shewanella"
"Alteromonadales;Thalassotalea",3,1,"Alteromonadales","Thalassotalea"
"Anaeroplasmatales;Anaeroplasma",1,0,"Anaeroplasmatales","Anaeroplasma"
"Arenicellales;Arenicella",5,4,"Arenicellales","Arenicella"
"Armatimonadales;Armatimonas/Armatimonadetes_gp1",1,1,"Armatimonadales","Armatimonas/Armatimonadetes_gp1"
"Atribacteria_genera_incertae_sedis;Atribacteria_genera_incertae_sedis",1,2,"Atribacteria_genera_incertae_sedis","Atribacteria_genera_incertae_sedis"
"BRC1_genera_incertae_sedis;BRC1_genera_incertae_sedis",1,0,"BRC1_genera_incertae_sedis","BRC1_genera_incertae_sedis"
"Bacillales;Gemella",1,0,"Bacillales","Gemella"
"Bacillales;Lysinibacillus",1,1,"Bacillales","Lysinibacillus"
"Bacillales;Paenibacillus",2,3,"Bacillales","Paenibacillus"
"Bacteriovoracales;Bacteriovorax",0,1,"Bacteriovoracales","Bacteriovorax"
"Bacteriovoracales;Halobacteriovorax",9,4,"Bacteriovoracales","Halobacteriovorax"
"Bacteroidales;Alistipes",6,5,"Bacteroidales","Alistipes"
"Bacteroidales;Ancylomarina",2,2,"Bacteroidales","Ancylomarina"
"Bacteroidales;Bacteroides",14,10,"Bacteroidales","Bacteroides"
"Bacteroidales;Barnesiella",2,2,"Bacteroidales","Barnesiella"
"Bacteroidales;Butyricimonas",0,1,"Bacteroidales","Butyricimonas"
"Bacteroidales;Carboxylicivirga",1,0,"Bacteroidales","Carboxylicivirga"
"Bacteroidales;Duncaniella",3,2,"Bacteroidales","Duncaniella"
"Bacteroidales;Fermentimonas",1,0,"Bacteroidales","Fermentimonas"
"Bacteroidales;Geofilum",1,0,"Bacteroidales","Geofilum"
"Bacteroidales;Labilibaculum",1,0,"Bacteroidales","Labilibaculum"
"Bacteroidales;Maribellus",1,0,"Bacteroidales","Maribellus"
"Bacteroidales;Odoribacter",2,3,"Bacteroidales","Odoribacter"
"Bacteroidales;Paludibacter",1,1,"Bacteroidales","Paludibacter"
"Bacteroidales;Parabacteroides",4,3,"Bacteroidales","Parabacteroides"
"Bacteroidales;Paramuribaculum",1,0,"Bacteroidales","Paramuribaculum"
"Bacteroidales;Petrimonas",2,0,"Bacteroidales","Petrimonas"
"Bacteroidales;Phocaeicola",19,12,"Bacteroidales","Phocaeicola"
"Bacteroidales;Prevotella",5,7,"Bacteroidales","Prevotella"
"Bacteroidales;Prevotellamassilia",3,0,"Bacteroidales","Prevotellamassilia"
"Bacteroidales;Prolixibacter",0,1,"Bacteroidales","Prolixibacter"
"Bacteroidales;Roseimarinus",1,0,"Bacteroidales","Roseimarinus"
"Bacteroidales;Saccharicrinis",2,0,"Bacteroidales","Saccharicrinis"
"Bdellovibrionales;Vampirovibrio",2,1,"Bdellovibrionales","Vampirovibrio"
"Betaproteobacteria_incertae_sedis;Casimicrobium",0,1,"Betaproteobacteria_incertae_sedis","Casimicrobium"
"Bifidobacteriales;Bifidobacterium",3,3,"Bifidobacteriales","Bifidobacterium"
"Bradymonadales;Bradymonas",1,0,"Bradymonadales","Bradymonas"
"Burkholderiales;Acidovorax",6,7,"Burkholderiales","Acidovorax"
"Burkholderiales;Aquabacterium",4,6,"Burkholderiales","Aquabacterium"
"Burkholderiales;Bordetella",4,2,"Burkholderiales","Bordetella"
"Burkholderiales;Castellaniella",0,1,"Burkholderiales","Castellaniella"
"Burkholderiales;Comamonas",2,4,"Burkholderiales","Comamonas"
"Burkholderiales;Curvibacter",1,1,"Burkholderiales","Curvibacter"
"Burkholderiales;Duganella",3,3,"Burkholderiales","Duganella"
"Burkholderiales;Herbaspirillum",2,2,"Burkholderiales","Herbaspirillum"
"Burkholderiales;Hydrogenophaga",10,8,"Burkholderiales","Hydrogenophaga"
"Burkholderiales;Hydromonas",2,0,"Burkholderiales","Hydromonas"
"Burkholderiales;Janthinobacterium",1,1,"Burkholderiales","Janthinobacterium"
"Burkholderiales;Malikia",1,2,"Burkholderiales","Malikia"
"Burkholderiales;Massilia",7,5,"Burkholderiales","Massilia"
"Burkholderiales;Noviherbaspirillum",2,0,"Burkholderiales","Noviherbaspirillum"
"Burkholderiales;Parasutterella",1,1,"Burkholderiales","Parasutterella"
"Burkholderiales;Pelomonas",1,0,"Burkholderiales","Pelomonas"
"Burkholderiales;Polaromonas",5,5,"Burkholderiales","Polaromonas"
"Burkholderiales;Polynucleobacter",16,15,"Burkholderiales","Polynucleobacter"
"Burkholderiales;Ralstonia",3,2,"Burkholderiales","Ralstonia"
"Burkholderiales;Rhizobacter",3,4,"Burkholderiales","Rhizobacter"
"Burkholderiales;Rhodoferax",2,1,"Burkholderiales","Rhodoferax"
"Burkholderiales;Simplicispira",2,2,"Burkholderiales","Simplicispira"
"Burkholderiales;Sphaerotilus",1,1,"Burkholderiales","Sphaerotilus"
"Burkholderiales;Tepidimonas",2,1,"Burkholderiales","Tepidimonas"
"Burkholderiales;Undibacterium",3,4,"Burkholderiales","Undibacterium"
"Burkholderiales;Variovorax",2,0,"Burkholderiales","Variovorax"
"Campylobacterales;Aliarcobacter",2,2,"Campylobacterales","Aliarcobacter"
"Campylobacterales;Poseidonibacter",3,3,"Campylobacterales","Poseidonibacter"
"Campylobacterales;Pseudarcobacter",3,4,"Campylobacterales","Pseudarcobacter"
"Campylobacterales;Sulfurovum",2,1,"Campylobacterales","Sulfurovum"
"Candidatus Cloacamonas;Candidatus Cloacamonas",2,0,"Candidatus Cloacamonas","Candidatus Cloacamonas"
"Candidatus Hydrogenedens;Candidatus Hydrogenedens",5,4,"Candidatus Hydrogenedens","Candidatus Hydrogenedens"
"Caulobacterales;Algimonas",1,1,"Caulobacterales","Algimonas"
