SampleType,Genus
OB23,Acidaminococcus
OB23,Desertimonas
OB23,Paramuribaculum
OB23,Petrimonas
OB23,Malikia
OB23,Variovorax
OB23,Caulobacter
OB23,Phenylobacterium
OB23,Butyricicoccus
OB23,Clostridium IV
OB23,Peptacetobacter
OB23,Erysipelatoclostridium
OB23,GpXIII
OB23,Flavicella
OB23,Wenyingzhuangia
OB23,Fusobacterium
OB23,Gp3
OB23,Geothrix
OB23,Kiritimatiella
OB23,Pseudarthrobacter
OB23,Vitreoscilla
OB23,Nitrosospira
OB23,Oleiharenicola
OB23,Gimesia
OB23,Nereida
OB23,Megamonas
OB23,Spartobacteria_genera_incertae_sedis
OB23,Novosphingobium
OB23,Akkermansia
OB23,Vibrio
OB23,Phascolarctobacterium
OB23,Armatimonas/Armatimonadetes_gp1
OB23,Lysinibacillus
OB23,Odoribacter
OB23,Parabacteroides
OB23,Aquabacterium
OB23,Parasutterella
OB23,Sphaerotilus
OB23,Undibacterium
OB23,Aliarcobacter
OB23,Poseidonibacter
OB23,Pseudarcobacter
OB23,Candidatus Hydrogenedens
OB23,Acetobacterium
OB23,Flintibacter
OB23,Hungatella
OB23,Lachnospira
OB23,Mediterraneibacter
OB23,Syntrophomonas
OB23,Mucispirillum
OB23,Enterobacter
OB23,Lutimonas
OB23,Phaeocystidibacter
OB23,Gp10
OB23,Gp6
OB23,Ignavibacterium
OB23,Catellicoccus
OB23,Enterococcus
OB23,Aquicella
OB23,Micrococcus
OB23,Thiobacillus
OB23,Pacearchaeota Incertae Sedis AR13
OB23,Blastopirellula
OB23,Planctopirus
OB23,Marmoricola
OB23,Ancylobacter
OB23,Beijerinckia
OB23,Mesorhizobium
OB23,Pseudolabrys
OB23,Yoonia
OB23,Roseomonas
OB23,Thalassobaculum
OB23,Saccharibacteria_genera_incertae_sedis
OB23,Selenomonas
OB23,Daejeonella
OB23,Erythrobacter
OB23,Dialister
OB23,Stenotrophomonas
OB24,Phascolarctobacterium
OB24,Armatimonas/Armatimonadetes_gp1
OB24,Lysinibacillus
OB24,Odoribacter
OB24,Parabacteroides
OB24,Aquabacterium
OB24,Parasutterella
OB24,Sphaerotilus
OB24,Undibacterium
OB24,Aliarcobacter
OB24,Poseidonibacter
OB24,Pseudarcobacter
OB24,Candidatus Hydrogenedens
OB24,Acetobacterium
OB24,Flintibacter
OB24,Hungatella
OB24,Lachnospira
OB24,Mediterraneibacter
OB24,Syntrophomonas
OB24,Mucispirillum
OB24,Enterobacter
OB24,Lutimonas
OB24,Phaeocystidibacter
OB24,Gp10
OB24,Gp6
OB24,Ignavibacterium
OB24,Catellicoccus
OB24,Enterococcus
OB24,Aquicella
OB24,Micrococcus
OB24,Thiobacillus
OB24,Pacearchaeota Incertae Sedis AR13
OB24,Blastopirellula
OB24,Planctopirus
OB24,Marmoricola
OB24,Ancylobacter
OB24,Beijerinckia
OB24,Mesorhizobium
OB24,Pseudolabrys
OB24,Yoonia
OB24,Roseomonas
OB24,Thalassobaculum
OB24,Saccharibacteria_genera_incertae_sedis
OB24,Selenomonas
OB24,Daejeonella
OB24,Erythrobacter
OB24,Dialister
OB24,Stenotrophomonas
OB25,Gemella
OB25,Ferruginibacter
OB25,Euglenida
OB25,Clostridium XlVb
OB25,Enterocloster
OB25,Intestinibacillus
OB25,Kineothrix
OB25,Lacrimispora
OB25,Neglecta
OB25,Schaedlerella
OB25,Sedimentibacter
OB25,Sporobacter
OB25,Tissierella
OB25,Collinsella
OB25,Desulforhopalus
OB25,Desulfovibrio
OB25,Massilimicrobiota
OB25,Gemmatimonas
OB25,Streptococcus
OB25,Lacunisphaera
OB25,Thermostilla
OB25,Singulisphaera
OB25,Allorhizobium
OB25,Parvibaculum
OB25,Rhizobium
OB25,Amaricoccus
OB25,Celeribacter
OB25,Zoogloea
OB25,Rhodovarius
OB25,Altererythrobacter
OB25,Fervidobacterium
OB23,Psychromonas
OB23,Hydromonas
OB23,Candidatus Cloacamonas
OB23,Flavitalea
OB23,Anaerostipes
OB23,Lachnospiracea_incertae_sedis
OB23,Oscillibacter
OB23,Pelobacter
OB23,Owenweeksia
OB23,Gp23
OB23,Lentisphaera
OB23,Methylobacter
OB23,Defluviitoga
OB23,Devosia
OB23,Pseudahrensia
OB23,Varunaivibrio
OB25,Psychromonas
OB25,Hydromonas
OB25,Candidatus Cloacamonas
OB25,Flavitalea
OB25,Anaerostipes
OB25,Lachnospiracea_incertae_sedis
OB25,Oscillibacter
OB25,Pelobacter
OB25,Owenweeksia
OB25,Gp23
OB25,Lentisphaera
OB25,Methylobacter
OB25,Defluviitoga
OB25,Devosia
OB25,Pseudahrensia
OB25,Varunaivibrio
OB25,Gemella
OB25,Ferruginibacter
OB25,Euglenida
OB25,Clostridium XlVb
OB25,Enterocloster
OB25,Intestinibacillus
OB25,Kineothrix
OB25,Lacrimispora
OB25,Neglecta
OB25,Schaedlerella
OB25,Sedimentibacter
OB25,Sporobacter
OB25,Tissierella
OB25,Collinsella
OB25,Desulforhopalus
OB25,Desulfovibrio
OB25,Massilimicrobiota
OB25,Gemmatimonas
OB25,Streptococcus
OB25,Lacunisphaera
OB25,Thermostilla
OB25,Singulisphaera
OB25,Allorhizobium
OB25,Parvibaculum
OB25,Rhizobium
OB25,Amaricoccus
OB25,Celeribacter
OB25,Zoogloea
OB25,Rhodovarius
OB25,Altererythrobacter
OB25,Fervidobacterium
OB25,Actinomarinicola
OB25,Arenicella
OB25,Atribacteria_genera_incertae_sedis
OB25,Halobacteriovorax
OB25,Barnesiella
OB25,Duncaniella
OB25,Bifidobacterium
OB25,Bordetella
OB25,Sulfurovum
OB25,Hellea
OB25,Halioglobus
OB25,Oceanicoccus
OB25,Porticoccus
OB25,Coprococcus
OB25,Dorea
OB25,Dysosmobacter
OB25,Fusicatenibacter
OB25,Gemmiger
OB25,Phocea
OB25,Romboutsia
OB25,Ruminococcus
OB25,Ruminococcus2
OB25,Coprothermobacter
OB25,Desulfosarcina
OB25,Emcibacter
OB25,Catenibacterium
OB25,Faecalibacillus
OB25,Holdemanella
OB25,Algibacter
OB25,Brumimicrobium
OB25,Cloacibacterium
OB25,Fluviicola
OB25,Lutibacter
OB25,Pseudofulvibacter
OB25,Tenacibaculum
OB25,Cetobacterium
OB25,Lactococcus
OB25,Aurantimicrobium
OB25,Micropepsis
OB25,Georgfuchsia
OB25,Methylotenera
OB25,Nitrospira
OB25,Spongiispira
OB25,Cephaloticoccus
OB25,Planctomicrobium
OB25,Pelagicoccus
OB25,Ruficoccus
OB25,Cypionkella
OB25,Litoreibacter
OB25,Octadecabacter
OB25,Sulfitobacter
OB25,Thalassobius
OB25,Roseithermus
OB25,Aureispira
OB25,Flavilitoribacter
OB25,Sphingomonas
OB25,Acetomicrobium
OB23,Actinomarinicola
OB23,Arenicella
OB23,Atribacteria_genera_incertae_sedis
OB23,Halobacteriovorax
OB23,Barnesiella
OB23,Duncaniella
OB23,Bifidobacterium
OB23,Bordetella
OB23,Sulfurovum
OB23,Hellea
OB23,Halioglobus
OB23,Oceanicoccus
OB23,Porticoccus
OB23,Coprococcus
OB23,Dorea
OB23,Dysosmobacter
OB23,Fusicatenibacter
OB23,Gemmiger
OB23,Phocea
OB23,Romboutsia
OB23,Ruminococcus
OB23,Ruminococcus2
OB23,Coprothermobacter
OB23,Desulfosarcina
OB23,Emcibacter
OB23,Catenibacterium
OB23,Faecalibacillus
OB23,Holdemanella
OB23,Algibacter
OB23,Brumimicrobium
OB23,Cloacibacterium
OB23,Fluviicola
OB23,Lutibacter
OB23,Pseudofulvibacter
OB23,Tenacibaculum
OB23,Cetobacterium
OB23,Lactococcus
OB23,Aurantimicrobium
OB23,Micropepsis
OB23,Georgfuchsia
OB23,Methylotenera
OB23,Nitrospira
OB23,Spongiispira
OB23,Cephaloticoccus
OB23,Planctomicrobium
OB23,Pelagicoccus
OB23,Ruficoccus
OB23,Cypionkella
OB23,Litoreibacter
OB23,Octadecabacter
OB23,Sulfitobacter
OB23,Thalassobius
OB23,Roseithermus
OB23,Aureispira
OB23,Flavilitoribacter
OB23,Sphingomonas
OB23,Acetomicrobium
OB24,Actinomarinicola
OB24,Arenicella
OB24,Atribacteria_genera_incertae_sedis
OB24,Halobacteriovorax
OB24,Barnesiella
OB24,Duncaniella
OB24,Bifidobacterium
OB24,Bordetella
OB24,Sulfurovum
OB24,Hellea
OB24,Halioglobus
OB24,Oceanicoccus
OB24,Porticoccus
OB24,Coprococcus
OB24,Dorea
OB24,Dysosmobacter
OB24,Fusicatenibacter
OB24,Gemmiger
OB24,Phocea
OB24,Romboutsia
OB24,Ruminococcus
OB24,Ruminococcus2
OB24,Coprothermobacter
OB24,Desulfosarcina
OB24,Emcibacter
OB24,Catenibacterium
OB24,Faecalibacillus
OB24,Holdemanella
OB24,Algibacter
OB24,Brumimicrobium
OB24,Cloacibacterium
OB24,Fluviicola
OB24,Lutibacter
OB24,Pseudofulvibacter
OB24,Tenacibaculum
OB24,Cetobacterium
OB24,Lactococcus
OB24,Aurantimicrobium
OB24,Micropepsis
OB24,Georgfuchsia
OB24,Methylotenera
OB24,Nitrospira
OB24,Spongiispira
OB24,Cephaloticoccus
OB24,Planctomicrobium
OB24,Pelagicoccus
OB24,Ruficoccus
OB24,Cypionkella
OB24,Litoreibacter
OB24,Octadecabacter
OB24,Sulfitobacter
OB24,Thalassobius
OB24,Roseithermus
OB24,Aureispira
OB24,Flavilitoribacter
OB24,Sphingomonas
OB24,Acetomicrobium
