SampleType,Genus
OB26,Duncaniella
OB26,Vampirovibrio
OB26,Intestinimonas
OB26,Ruminococcus
OB26,Algoriphagus
OB26,Holdemanella
OB26,Chryseobacterium
OB26,Empedobacter
OB26,Lacinutrix
OB26,Marinicella
OB26,Gp23
OB26,Streptococcus
OB26,Georgfuchsia
OB26,Nereida
OB26,Dechloromonas
OB26,Acidocella
OB26,Aureispira
OB26,Altererythrobacter
OB26,Terrimicrobium
OB26,Leucothrix
OB26,Dialister
OB26,Phascolarctobacterium
OB26,Desertimonas
OB26,Ilumatobacter
OB26,Aeromonas
OB26,Tolumonas
OB26,Colwellia
OB26,Arenicella
OB26,Armatimonas/Armatimonadetes_gp1
OB26,Atribacteria_genera_incertae_sedis
OB26,Lysinibacillus
OB26,Halobacteriovorax
OB26,Alistipes
OB26,Bacteroides
OB26,Odoribacter
OB26,Parabacteroides
OB26,Phocaeicola
OB26,Prevotella
OB26,Casimicrobium
OB26,Bifidobacterium
OB26,Acidovorax
OB26,Aquabacterium
OB26,Bordetella
OB26,Comamonas
OB26,Curvibacter
OB26,Duganella
OB26,Herbaspirillum
OB26,Hydrogenophaga
OB26,Janthinobacterium
OB26,Malikia
OB26,Massilia
OB26,Polaromonas
OB26,Polynucleobacter
OB26,Ralstonia
OB26,Rhizobacter
OB26,Rhodoferax
OB26,Simplicispira
OB26,Sphaerotilus
OB26,Tepidimonas
OB26,Undibacterium
OB26,Aliarcobacter
OB26,Pseudarcobacter
OB26,Candidatus Hydrogenedens
OB26,Asprobacter
OB26,Caulobacter
OB26,Hellea
OB26,Phenylobacterium
OB26,Halioglobus
OB26,Luminiphilus
OB26,Marimicrobium
OB26,Oceanicoccus
OB26,Porticoccus
OB26,Ferruginibacter
OB26,Flavitalea
OB26,Sediminibacterium
OB26,Bacillariophyta
OB26,Chlorophyta
OB26,Cryptomonadaceae
OB26,Woeseia
OB26,Blautia
OB26,Clostridium sensu stricto
OB26,Coprococcus
OB26,Dorea
OB26,Faecalibacterium
OB26,Fusicatenibacter
OB26,Gemmiger
OB26,Kineothrix
OB26,Lachnospira
OB26,Mediterraneibacter
OB26,Paeniclostridium
OB26,Proteocatella
OB26,Romboutsia
OB26,Syntrophomonas
OB26,Coprothermobacter
OB26,Collinsella
OB26,Aquirufa
OB26,Arcicella
OB26,Emticicia
OB26,Flectobacillus
OB26,Lacihabitans
OB26,Mucispirillum
OB26,Desulfobulbus
OB26,Desulfovibrio
OB26,Geobacter
OB26,Emcibacter
OB26,Enterobacter
OB26,Raoultella
OB26,Catenibacterium
OB26,Clostridium XVIII
OB26,Erysipelatoclostridium
OB26,GpIIa
OB26,Algibacter
OB26,Brumimicrobium
OB26,Cloacibacterium
OB26,Crocinitomix
OB26,Flavicella
OB26,Flavobacterium
OB26,Fluviicola
OB26,Formosa
OB26,Gaetbulibacter
OB26,Lutibacter
OB26,Owenweeksia
OB26,Phaeocystidibacter
OB26,Polaribacter
OB26,Tenacibaculum
OB26,Vicingus
OB26,Winogradskyella
OB26,Hypnocyclicus
OB26,Ignatzschineria
OB26,Gemmatimonas
OB26,Gp10
OB26,Gp6
OB26,Geothrix
OB26,Enterococcus
OB26,Lactococcus
OB26,Trichococcus
OB26,Coxiella
OB26,Diplorickettsia
OB26,Legionella
OB26,Marinimicrobia_genera_incertae_sedis
OB26,Methylobacter
OB26,Aurantimicrobium
OB26,Leucobacter
OB26,Microbacterium
OB26,Rhodoluna
OB26,Micropepsis
OB26,Mycobacterium
OB26,Rivicola
OB26,Vogesella
OB26,Methylophilus
OB26,Methylotenera
OB26,Nitrosospira
OB26,Nitrosopumilus
OB26,Nitrospina
OB26,Nitrospira
OB26,Pseudohongiella
OB26,Spongiispira
OB26,Cephaloticoccus
OB26,Lacunisphaera
OB26,Defluviitoga
OB26,Lacipirellula
OB26,Mariniblastus
OB26,Gemmata
OB26,Planctomicrobium
OB26,Schlesneria
OB26,Acinetobacter
OB26,Pseudomonas
OB26,Coraliomargarita
OB26,Pelagicoccus
OB26,Ruficoccus
OB26,Ancylobacter
OB26,Beijerinckia
OB26,Bradyrhizobium
OB26,Devosia
OB26,Mesorhizobium
OB26,Methylocella
OB26,Parvibaculum
OB26,Pedomicrobium
OB26,Pseudahrensia
OB26,Pseudolabrys
OB26,Rhizobium
OB26,Xanthobacter
OB26,Cypionkella
OB26,Gemmobacter
OB26,Litoreibacter
OB26,Octadecabacter
OB26,Sulfitobacter
OB26,Thalassobius
OB26,Zoogloea
OB26,Nisaea
OB26,Reyranella
OB26,Rhodovarius
OB26,Roseomonas
OB26,Roseithermus
OB26,Rickettsia
OB26,Candidatus Pelagibacter
OB26,Saccharibacteria_genera_incertae_sedis
OB26,Flavilitoribacter
OB26,Haliscomenobacter
OB26,Phaeodactylibacter
OB26,Anaeroarcus
OB26,Anaerosinus
OB26,Megamonas
OB26,Pelosinus
OB26,Selenomonas
OB26,Spartobacteria_genera_incertae_sedis
OB26,Daejeonella
OB26,Pedobacter
OB26,Novosphingobium
OB26,Sphingobium
OB26,Sphingomonas
OB26,Sphingorhabdus
OB26,Longivirga
OB26,Subdivision3_genera_incertae_sedis
OB26,Acetomicrobium
OB26,Thiothrix
OB26,Luteolibacter
OB26,Rubritalea
OB26,Photobacterium
OB26,Arenimonas
OB26,Stenotrophomonas
OB27,Phascolarctobacterium
OB27,Desertimonas
OB27,Ilumatobacter
OB27,Aeromonas
OB27,Tolumonas
OB27,Colwellia
OB27,Arenicella
OB27,Armatimonas/Armatimonadetes_gp1
OB27,Atribacteria_genera_incertae_sedis
OB27,Lysinibacillus
OB27,Halobacteriovorax
OB27,Alistipes
OB27,Bacteroides
OB27,Odoribacter
OB27,Parabacteroides
OB27,Phocaeicola
OB27,Prevotella
OB27,Casimicrobium
OB27,Bifidobacterium
OB27,Acidovorax
OB27,Aquabacterium
OB27,Bordetella
OB27,Comamonas
OB27,Curvibacter
OB27,Duganella
OB27,Herbaspirillum
OB27,Hydrogenophaga
OB27,Janthinobacterium
OB27,Malikia
OB27,Massilia
OB27,Polaromonas
OB27,Polynucleobacter
OB27,Ralstonia
OB27,Rhizobacter
OB27,Rhodoferax
OB27,Simplicispira
OB27,Sphaerotilus
OB27,Tepidimonas
OB27,Undibacterium
OB27,Aliarcobacter
OB27,Pseudarcobacter
OB27,Candidatus Hydrogenedens
OB27,Asprobacter
OB27,Caulobacter
OB27,Hellea
OB27,Phenylobacterium
OB27,Halioglobus
OB27,Luminiphilus
OB27,Marimicrobium
OB27,Oceanicoccus
OB27,Porticoccus
OB27,Ferruginibacter
OB27,Flavitalea
OB27,Sediminibacterium
OB27,Bacillariophyta
OB27,Chlorophyta
OB27,Cryptomonadaceae
OB27,Woeseia
OB27,Blautia
OB27,Clostridium sensu stricto
OB27,Coprococcus
OB27,Dorea
OB27,Faecalibacterium
OB27,Fusicatenibacter
OB27,Gemmiger
OB27,Kineothrix
OB27,Lachnospira
OB27,Mediterraneibacter
OB27,Paeniclostridium
OB27,Proteocatella
OB27,Romboutsia
OB27,Syntrophomonas
OB27,Coprothermobacter
OB27,Collinsella
OB27,Aquirufa
OB27,Arcicella
OB27,Emticicia
OB27,Flectobacillus
OB27,Lacihabitans
OB27,Mucispirillum
OB27,Desulfobulbus
OB27,Desulfovibrio
OB27,Geobacter
OB27,Emcibacter
OB27,Enterobacter
OB27,Raoultella
OB27,Catenibacterium
OB27,Clostridium XVIII
OB27,Erysipelatoclostridium
OB27,GpIIa
OB27,Algibacter
OB27,Brumimicrobium
OB27,Cloacibacterium
OB27,Crocinitomix
OB27,Flavicella
OB27,Flavobacterium
OB27,Fluviicola
OB27,Formosa
OB27,Gaetbulibacter
OB27,Lutibacter
OB27,Owenweeksia
OB27,Phaeocystidibacter
OB27,Polaribacter
OB27,Tenacibaculum
OB27,Vicingus
OB27,Winogradskyella
OB27,Hypnocyclicus
OB27,Ignatzschineria
OB27,Gemmatimonas
OB27,Gp10
OB27,Gp6
OB27,Geothrix
OB27,Enterococcus
OB27,Lactococcus
OB27,Trichococcus
OB27,Coxiella
OB27,Diplorickettsia
OB27,Legionella
OB27,Marinimicrobia_genera_incertae_sedis
OB27,Methylobacter
OB27,Aurantimicrobium
OB27,Leucobacter
OB27,Microbacterium
OB27,Rhodoluna
OB27,Micropepsis
OB27,Mycobacterium
OB27,Rivicola
OB27,Vogesella
OB27,Methylophilus
OB27,Methylotenera
OB27,Nitrosospira
OB27,Nitrosopumilus
OB27,Nitrospina
OB27,Nitrospira
OB27,Pseudohongiella
OB27,Spongiispira
OB27,Cephaloticoccus
OB27,Lacunisphaera
OB27,Defluviitoga
OB27,Lacipirellula
OB27,Mariniblastus
OB27,Gemmata
OB27,Planctomicrobium
OB27,Schlesneria
OB27,Acinetobacter
OB27,Pseudomonas
OB27,Coraliomargarita
