SampleType,Genus
OB31,Pseudoalteromonas
OB31,Thalassotalea
OB31,Paenibacillus
OB31,Bacteroides
OB31,Prevotella
OB31,Saccharicrinis
OB31,Vampirovibrio
OB31,Rhizobacter
OB31,Microbulbifer
OB31,Panacibacter
OB31,Colidextribacter
OB31,Collinsella
OB31,Desulfobulbus
OB31,Desulfotalea
OB31,Geobacter
OB31,Actibacter
OB31,Aequorivita
OB31,Maribacter
OB31,Saonia
OB31,Gp23
OB31,Ignavibacterium
OB31,Trichococcus
OB31,Diplorickettsia
OB31,Legionella
OB31,Methylobacter
OB31,Nitrospira
OB31,Cutibacterium
OB31,Acinetobacter
OB31,Devosia
OB31,Amylibacter
OB31,Celeribacter
OB31,Thalassobaculum
OB31,Parasphingopyxis
OB31,Sphingorhabdus
OB31,Akkermansia
OB31,Vibrio
OB31,Intestinimonas
OB31,Phocea
OB31,Massilimicrobiota
OB31,GpXIII
OB34,Intestinimonas
OB34,Phocea
OB34,Massilimicrobiota
OB34,GpXIII
OB32,Anaeroplasma
OB32,Geofilum
OB32,Odoribacter
OB32,Petrimonas
OB32,Aquabacterium
OB32,Comamonas
OB32,Pseudarcobacter
OB32,Eisenbergiella
OB32,Coprothermobacter
OB32,Aquirufa
OB32,Mucispirillum
OB32,Desulfovibrio
OB32,Taeania
OB32,Micrococcus
OB32,Ketobacter
OB32,Loktanella
OB32,Occidentia
OB32,Aliivibrio
OB32,Woesearchaeota Incertae Sedis AR16
OB33,Halobacteriovorax
OB33,Alistipes
OB33,Maribellus
OB33,Sphaerotilus
OB33,Lacrimispora
OB33,Neglecta
OB33,Peptacetobacter
OB33,Sedimentibacter
OB33,Sporobacter
OB33,Tissierella
OB33,Aquimarina
OB33,Bizionia
OB33,Phaeocystidibacter
OB33,Gp10
OB33,Streptococcus
OB33,Aquicella
OB33,Neptunomonas
OB33,Blastopirellula
OB33,Bauldia
OB33,Hoeflea
OB33,Sphingomonas
OB33,Cysteiniphilum
OB33,Rhodanobacter
OB31,Pseudoalteromonas
OB31,Thalassotalea
OB31,Paenibacillus
OB31,Bacteroides
OB31,Prevotella
OB31,Saccharicrinis
OB31,Vampirovibrio
OB31,Rhizobacter
OB31,Microbulbifer
OB31,Panacibacter
OB31,Colidextribacter
OB31,Collinsella
OB31,Desulfobulbus
OB31,Desulfotalea
OB31,Geobacter
OB31,Actibacter
OB31,Aequorivita
OB31,Maribacter
OB31,Saonia
OB31,Gp23
OB31,Ignavibacterium
OB31,Trichococcus
OB31,Diplorickettsia
OB31,Legionella
OB31,Methylobacter
OB31,Nitrospira
OB31,Cutibacterium
OB31,Acinetobacter
OB31,Devosia
OB31,Amylibacter
OB31,Celeribacter
OB31,Thalassobaculum
OB31,Parasphingopyxis
OB31,Sphingorhabdus
OB31,Akkermansia
OB31,Vibrio
OB32,Anaeroplasma
OB32,Geofilum
OB32,Odoribacter
OB32,Petrimonas
OB32,Aquabacterium
OB32,Comamonas
OB32,Pseudarcobacter
