"Taxon","sumOB35","sumOB37","sumOB38","sumOB39","Order","Genus"
"Acidaminococcales;Acidaminococcus",0,0,0,0,"Acidaminococcales","Acidaminococcus"
"Acidaminococcales;Phascolarctobacterium",2,0,1,1,"Acidaminococcales","Phascolarctobacterium"
"Acidimicrobiales;Actinomarinicola",1,1,0,1,"Acidimicrobiales","Actinomarinicola"
"Acidimicrobiales;Desertimonas",0,0,0,0,"Acidimicrobiales","Desertimonas"
"Acidimicrobiales;Ilumatobacter",4,3,3,3,"Acidimicrobiales","Ilumatobacter"
"Aeromonadales;Aeromonas",0,0,1,0,"Aeromonadales","Aeromonas"
"Aeromonadales;Pseudaeromonas",0,2,0,0,"Aeromonadales","Pseudaeromonas"
"Aeromonadales;Tolumonas",1,1,1,1,"Aeromonadales","Tolumonas"
"Alteromonadales;Agarivorans",0,0,0,0,"Alteromonadales","Agarivorans"
"Alteromonadales;Aliiglaciecola",1,0,0,0,"Alteromonadales","Aliiglaciecola"
"Alteromonadales;Catenovulum",0,0,0,0,"Alteromonadales","Catenovulum"
"Alteromonadales;Colwellia",10,9,5,8,"Alteromonadales","Colwellia"
"Alteromonadales;Echinimonas",0,0,1,0,"Alteromonadales","Echinimonas"
"Alteromonadales;Ferrimonas",1,0,0,0,"Alteromonadales","Ferrimonas"
"Alteromonadales;Moritella",2,0,1,0,"Alteromonadales","Moritella"
"Alteromonadales;Paraglaciecola",0,0,0,0,"Alteromonadales","Paraglaciecola"
"Alteromonadales;Paramoritella",1,1,0,0,"Alteromonadales","Paramoritella"
"Alteromonadales;Pseudoalteromonas",0,0,0,0,"Alteromonadales","Pseudoalteromonas"
"Alteromonadales;Psychrobium",0,2,0,0,"Alteromonadales","Psychrobium"
"Alteromonadales;Psychromonas",6,5,4,4,"Alteromonadales","Psychromonas"
"Alteromonadales;Psychrosphaera",1,0,0,1,"Alteromonadales","Psychrosphaera"
"Alteromonadales;Shewanella",3,0,0,0,"Alteromonadales","Shewanella"
"Alteromonadales;Thalassotalea",0,0,0,0,"Alteromonadales","Thalassotalea"
"Anaeroplasmatales;Anaeroplasma",0,0,0,0,"Anaeroplasmatales","Anaeroplasma"
"Arenicellales;Arenicella",3,2,2,2,"Arenicellales","Arenicella"
"Armatimonadales;Armatimonas/Armatimonadetes_gp1",1,0,0,1,"Armatimonadales","Armatimonas/Armatimonadetes_gp1"
"Atribacteria_genera_incertae_sedis;Atribacteria_genera_incertae_sedis",1,0,1,1,"Atribacteria_genera_incertae_sedis","Atribacteria_genera_incertae_sedis"
"BRC1_genera_incertae_sedis;BRC1_genera_incertae_sedis",0,0,1,0,"BRC1_genera_incertae_sedis","BRC1_genera_incertae_sedis"
"Bacillales;Gemella",0,0,0,0,"Bacillales","Gemella"
"Bacillales;Lysinibacillus",1,0,0,1,"Bacillales","Lysinibacillus"
"Bacillales;Paenibacillus",1,0,0,1,"Bacillales","Paenibacillus"
"Bacteriovoracales;Bacteriovorax",1,0,0,1,"Bacteriovoracales","Bacteriovorax"
"Bacteriovoracales;Halobacteriovorax",3,2,2,1,"Bacteriovoracales","Halobacteriovorax"
"Bacteroidales;Alistipes",3,3,2,3,"Bacteroidales","Alistipes"
"Bacteroidales;Ancylomarina",1,1,0,1,"Bacteroidales","Ancylomarina"
"Bacteroidales;Bacteroides",6,1,5,5,"Bacteroidales","Bacteroides"
"Bacteroidales;Barnesiella",0,0,1,0,"Bacteroidales","Barnesiella"
"Bacteroidales;Butyricimonas",1,0,0,1,"Bacteroidales","Butyricimonas"
"Bacteroidales;Carboxylicivirga",1,0,0,0,"Bacteroidales","Carboxylicivirga"
