"Taxon","sumOB40","sumOB41","sumOB42","Order","Genus"
"Acidaminococcales;Acidaminococcus",0,0,0,"Acidaminococcales","Acidaminococcus"
"Acidaminococcales;Phascolarctobacterium",1,0,0,"Acidaminococcales","Phascolarctobacterium"
"Acidimicrobiales;Actinomarinicola",1,1,1,"Acidimicrobiales","Actinomarinicola"
"Acidimicrobiales;Desertimonas",0,0,0,"Acidimicrobiales","Desertimonas"
"Acidimicrobiales;Ilumatobacter",2,4,2,"Acidimicrobiales","Ilumatobacter"
"Aeromonadales;Aeromonas",1,0,0,"Aeromonadales","Aeromonas"
"Aeromonadales;Pseudaeromonas",0,0,0,"Aeromonadales","Pseudaeromonas"
"Aeromonadales;Tolumonas",0,1,0,"Aeromonadales","Tolumonas"
"Alteromonadales;Agarivorans",0,0,0,"Alteromonadales","Agarivorans"
"Alteromonadales;Aliiglaciecola",0,1,0,"Alteromonadales","Aliiglaciecola"
"Alteromonadales;Catenovulum",0,0,0,"Alteromonadales","Catenovulum"
"Alteromonadales;Colwellia",14,10,8,"Alteromonadales","Colwellia"
"Alteromonadales;Echinimonas",0,0,0,"Alteromonadales","Echinimonas"
"Alteromonadales;Ferrimonas",0,1,0,"Alteromonadales","Ferrimonas"
"Alteromonadales;Moritella",1,0,1,"Alteromonadales","Moritella"
"Alteromonadales;Paraglaciecola",0,0,0,"Alteromonadales","Paraglaciecola"
"Alteromonadales;Paramoritella",0,1,0,"Alteromonadales","Paramoritella"
"Alteromonadales;Pseudoalteromonas",1,1,0,"Alteromonadales","Pseudoalteromonas"
"Alteromonadales;Psychrobium",3,0,0,"Alteromonadales","Psychrobium"
"Alteromonadales;Psychromonas",4,3,3,"Alteromonadales","Psychromonas"
"Alteromonadales;Psychrosphaera",0,0,0,"Alteromonadales","Psychrosphaera"
"Alteromonadales;Shewanella",0,0,0,"Alteromonadales","Shewanella"
"Alteromonadales;Thalassotalea",1,0,0,"Alteromonadales","Thalassotalea"
"Anaeroplasmatales;Anaeroplasma",0,0,0,"Anaeroplasmatales","Anaeroplasma"
"Arenicellales;Arenicella",3,3,2,"Arenicellales","Arenicella"
