Sample.date,Sample.time,Encounter.number,Sample.of.day,Sample.ID,Sample.coordinates,Region,Image.name,Image.date,Image.taken.sameday,Whale.ID,Sex,Birth.year,Lateral.image,Total.ESVs,Total.bacteria.genera,S1.score,S1.skinlesions.OB1,S1.skinlesions.OB2,S1.skinlesions.avg,S1.scarmarks.OB1,S1.scarmarks.OB2,S1.scarmarks.avg,S1.allpixels.OB1,S1.allpixels.OB2,S1.allpixels.avg,S1.lesions.pixels.OB1,S1.lesions.pixels.OB2,S1.lesions.pixels.avg,S1.scar.score.OB1,S1.scar.score.OB2,S1.scar.score.avg,S2.score,S2.skinlesions.OB1,S2.skinlesions.OB2,S2.skinlesions.avg,S2.scarmarks.OB1,S2.scarmarks.OB2,S2.scarmarks.avg,S2.allpixels.OB1,S2.allpixels.OB2,S2.allpixels.avg,S2.lesions.pixels.OB1,S2.lesions.pixels.OB2,S2.lesions.pixels.avg,S2.scar.score.OB1,S2.scar.score.OB2,S2.scar.score.avg,S3.score,S3.skinlesions.OB1,S3.skinlesions.OB2,S3.skinlesions.avg,S3.scarmarks.OB1,S3.scarmarks.OB2,S3.scarmarks.avg,S3.allpixels.OB1,S3.allpixels.OB2,S3.allpixels.avg,S3.lesions.pixels.OB1,S3.lesions.pixels.OB2,S3.lesions.pixels.avg,S3.scar.score.OB1,S3.scar.score.OB2,S3.scar.score.avg,S4.score,S4.skinlesions.OB1,S4.skinlesions.OB2,S4.skinlesions.avg,S4.scarmarks.OB1,S4.scarmarks.OB2,S4.scarmarks.avg,S4.allpixels.OB1,S4.allpixels.OB2,S4.allpixels.avg,S4.lesions.pixels.OB1,S4.lesions.pixels.OB2,S4.lesions.pixels.avg,S4.scar.score.OB1,S4.scar.score.OB2,S4.scar.score.avg,Gray.patches.avg,Gray.targets.avg,Black.pinpoints.avg,Erosions.avg,Cephalopod.avg,Sloughing.avg,Wounds.avg,Likely.lesion.types,Number.likely.lesion.types,Confirmed.lesion.types,Number.confirmed.lesion.types,OB1.comments,OB2.comments
4/24/2024,12:35:00 PM,1,1,CKWP_2024-04-24-E1-S1,"36.465000, -122.018333",CA,CA10_R_2024-0424_Patti,24-Apr-24,Yes,CA10,Male,1964,RL,80,31,2,1,1,1,1,1,1,80914,80912,80913,0,0,0,1,1,1,3,3,1,2,2,1,1.5,197273,200790,199031.5,68,0,34,2,1,1.5,2,3,1,2,3,3,3,39892,39631,39761.5,496,0,248,4,4,4,2,1,1,1,3,3,3,16982,16561,16771.5,0,0,0,4,4,4,Yes,No,No,Possibly,No,No,No,GP-E,2,GP,1,Very scarred up,Lots of water running off the whale so hard to tell if there is sloughing skin or just water running off the body
4/19/2024,1:57:00 PM,2,2,CKWP_2024-04-19-E2-S1,"36.669033, -122.166633",CA,CA122A2_R_20240419_Jodi_2W5A4532,19-Apr-24,Yes,CA122A2,Male,2013,RL,196,55,1,NA,NA,NA,3,1,2,26935,27205,27070,NA,NA,NA,2,1,1.5,1,NA,NA,NA,3,1,2,10606,12163,11384.5,NA,NA,NA,2,1,1.5,1,1,1,1,3,3,3,33615,34589,34102,0,0,0,3,3,3,1,NA,NA,NA,3,3,3,17608,15978,16793,NA,0,0,2,2,2,Possibly,No,No,Yes,No,No,Possibly,GP-E-W,3,E,1,Little to no skin lesions,
10/18/2024,1:02:00 PM,1,1,CKWP_2024-10-18-E1-S1,"36.712167, -121.874833",CA,CA51A3_R_2024-1117_ChrisCampo_DSC_2136,17-Nov-24,No,CA51A3,Female,2013,RL,68,32,3,3,3,3,1,1,1,497623,489840,493731.5,627,606,616.5,1,1,1,2,1,1,1,1,1,1,177272,181000,179136,0,0,0,1,1,1,3,3,3,3,3,3,3,776869,748940,762904.5,36324,2415,19369.5,3,3,3,3,3,3,3,3,3,3,399878,449469,424673.5,7934,3334,5634,2,2,2,Yes,No,No,Possibly,Possibly,No,No,GP-E-CL,3,GP,1,Looks to be one small erosion on the left side (unconfirmed). Cephlapod scars on left side.,
10/5/2024,12:07:00 PM,1,1,CKWP_2024-10-05-E1-S1,"36.833500, -121.943333",CA,CA51A3A_R_2024-1005_MorganQuimby_3963_edited,17-Nov-24,No,CA51A3A,Female,2023,RL,31,24,3,3,3,3,3,3,3,375368,361394,368381,5331,0,2665.5,2,2,2,3,3,3,3,3,3,3,295911,356287,326099,33649,10122,21885.5,2,2,2,3,3,3,3,3,3,3,779623,735882,757752.5,40303,19127,29715,2,3,2.5,2,3,3,3,3,3,3,268808,277357,273082.5,4773,3342,4057.5,2,2,2,Yes,Yes,Yes,Possibly,Possibly,No,Yes,GP-GT-BP-E-CL-W,6,GP-GT-BP-W,4,Gash on dorsal fin,
1/16/2024,12:19:00 PM,1,1,FP84,"49.302539, -124.094853",BC,T023D3_R_2024-05-09_MMalleson_FinWave,09-May-24,No,T023D3,Male,2012,RL,92,66,2,1,3,2,3,3,3,169389,170072,169730.5,0,143,71.5,2,2,2,2,1,1,1,3,1,2,133063,136367,134715,0,0,0,2,1,1.5,2,1,1,1,3,3,3,123627,122532,123079.5,0,0,0,3,3,3,2,1,1,1,3,3,3,23802,23856,23829,0,0,0,4,4,4,Possibly,No,No,No,No,No,No,GP,1,None,0,No obvious skin lesions,Left side (section 2) has some white spots but they don't fit into any of the described lesions and they could just be water refelctions.
11/18/2024,10:46:00 AM,2,1,FP105,"48.963494, -123.466125",BC,T037_R_2024-11-17_GJS_6440,17-Nov-24,No,T037,Female,1979,RL,87,55,2,1,1,1,1,1,1,524689,532461,528575,0,0,0,1,1,1,3,1,1,1,1,1,1,518332,515944,517138,0,0,0,1,1,1,3,3,3,3,3,3,3,418599,419623,419111,406,616,511,2,2,2,3,1,1,1,3,3,3,158453,160380,159416.5,0,0,0,2,2,2,Possibly,Yes,No,No,No,No,No,GP-GT,2,GT,1,1-3 targets,
11/17/2024,2:55:00 PM,1,2,FP104,"48.999073, -123.479324",BC,T037A2_R_2024_DSC_5725,21-Sep-24,No,T037A2,Male,2009,RL,167,89,2,1,1,1,1,1,1,258533,262319,260426,0,0,0,1,1,1,2,1,1,1,3,1,2,229004,232766,230885,0,0,0,2,1,1.5,2,1,3,2,3,3,3,193259,192058,192658.5,0,3081,1540.5,3,3,3,2,1,1,1,3,3,3,84667,89966,87316.5,0,0,0,2,2,2,Possibly,No,No,No,No,No,No,GP,1,None,0,No obvious skin lesions,
11/17/2024,2:48:00 PM,1,1,FP103,"48.996636, -123.473389",BC,T046B4_R_2024-07-24_KFleming_FinWave,24-Jul-24,No,T046B4,Male,2013,RL,381,127,3,3,3,3,1,1,1,241649,240149,240899,60,334,197,1,1,1,3,1,3,2,3,3,3,404734,420493,412613.5,0,360,180,2,2,2,3,3,3,3,3,3,3,170830,162034,166432,7116,5600,6358,3,3,3,3,1,3,2,3,3,3,39189,38925,39057,0,271,135.5,4,4,4,Yes,Possibly,No,Possibly,No,No,No,GP-GT-E,3,GP,1,"large grey patches, 1 possible grey target",Big grey patch on left side. Uncertain if it's light or lesion but measured it.
2/6/2024,11:03:00 AM,1,2,FP93,"48.546735, -123.292233",BC,T060D_R_2024-02-18_MMalleson_FinWave,18-Feb-24,No,T060D,Male,2004,RL,54,44,1,NA,NA,NA,NA,NA,NA,119567,126509,123038,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,194635,196959,195797,0,0,0,1,1,1,2,1,1,1,3,3,3,78537,79481,79009,0,0,0,3,3,3,1,NA,NA,NA,3,3,3,9496,7046,8271,NA,0,0,4,4,4,No,No,No,No,No,No,No,None,0,None,0,No obvious skin lesions,Photo not great for showing detail
2/6/2024,11:13:00 AM,1,3,FP94,"48.554523, -123.301662",BC,T060E_R_2024-02-19_JZelwietro_FinWave,19-Feb-24,No,T060E,Male,2008,RL,61,45,2,1,1,1,1,1,1,270336,284092,277214,0,0,0,1,1,1,1,1,1,1,1,1,1,92170,89784,90977,0,0,0,1,1,1,2,1,1,1,3,3,3,172943,179113,176028,0,0,0,3,3,3,2,1,1,1,3,3,3,123392,122256,122824,0,0,0,4,4,4,Possibly,No,No,No,No,No,No,GP,1,None,0,No obvious skin lesions,Uncertain if it is a lesion on the left side but possible grey pacth so measured it.
