Whale.ID,Lateral.image,S1.score,S1.skinlesions.OB1,S1.skinlesions.OB2,S1.skinlesions.avg,S1.scarmarks.OB1,S1.scarmarks.OB2,S1.scarmarks.avg,S1.allpixels.OB1,S1.allpixels.OB2,S1.allpixels.avg,S1.lesions.pixels.OB1,S1.lesions.pixels.OB2,S1.lesions.pixels.avg,S1.scar.score.OB1,S1.scar.score.OB2,S1.scar.score.avg,S2.score,S2.skinlesions.OB1,S2.skinlesions.OB2,S2.skinlesions.avg,S2.scarmarks.OB1,S2.scarmarks.OB2,S2.scarmarks.avg,S2.allpixels.OB1,S2.allpixels.OB2,S2.allpixels.avg,S2.lesions.pixels.OB1,S2.lesions.pixels.OB2,S2.lesions.pixels.avg,S2.scar.score.OB1,S2.scar.score.OB2,S2.scar.score.avg,S3.score,S3.skinlesions.OB1,S3.skinlesions.OB2,S3.skinlesions.avg,S3.scarmarks.OB1,S3.scarmarks.OB2,S3.scarmarks.avg,S3.allpixels.OB1,S3.allpixels.OB2,S3.allpixels.avg,S3.lesions.pixels.OB1,S3.lesions.pixels.OB2,S3.lesions.pixels.avg,S3.scar.score.OB1,S3.scar.score.OB2,S3.scar.score.avg,S4.score,S4.skinlesions.OB1,S4.skinlesions.OB2,S4.skinlesions.avg,S4.scarmarks.OB1,S4.scarmarks.OB2,S4.scarmarks.avg,S4.allpixels.OB1,S4.allpixels.OB2,S4.allpixels.avg,S4.lesions.pixels.OB1,S4.lesions.pixels.OB2,S4.lesions.pixels.avg,S4.scar.score.OB1,S4.scar.score.OB2,S4.scar.score.avg
CA10,RL,2,1,1,1,1,1,1,80914,80912,80913,0,0,0,1,1,1,3,3,1,2,2,1,1.5,197273,200790,199031.5,68,0,34,2,1,1.5,2,3,1,2,3,3,3,39892,39631,39761.5,496,0,248,4,4,4,2,1,1,1,3,3,3,16982,16561,16771.5,0,0,0,4,4,4
CA122A2,RL,1,NA,NA,NA,3,1,2,26935,27205,27070,NA,NA,NA,2,1,1.5,1,NA,NA,NA,3,1,2,10606,12163,11384.5,NA,NA,NA,2,1,1.5,1,1,1,1,3,3,3,33615,34589,34102,0,0,0,3,3,3,1,NA,NA,NA,3,3,3,17608,15978,16793,NA,0,0,2,2,2
CA51A3,RL,3,3,3,3,1,1,1,497623,489840,493731.5,627,606,616.5,1,1,1,2,1,1,1,1,1,1,177272,181000,179136,0,0,0,1,1,1,3,3,3,3,3,3,3,776869,748940,762904.5,36324,2415,19369.5,3,3,3,3,3,3,3,3,3,3,399878,449469,424673.5,7934,3334,5634,2,2,2
CA51A3A,RL,3,3,3,3,3,3,3,375368,361394,368381,5331,0,2665.5,2,2,2,3,3,3,3,3,3,3,295911,356287,326099,33649,10122,21885.5,2,2,2,3,3,3,3,3,3,3,779623,735882,757752.5,40303,19127,29715,2,3,2.5,2,3,3,3,3,3,3,268808,277357,273082.5,4773,3342,4057.5,2,2,2
T023D3,RL,2,1,3,2,3,3,3,169389,170072,169730.5,0,143,71.5,2,2,2,2,1,1,1,3,1,2,133063,136367,134715,0,0,0,2,1,1.5,2,1,1,1,3,3,3,123627,122532,123079.5,0,0,0,3,3,3,2,1,1,1,3,3,3,23802,23856,23829,0,0,0,4,4,4
T037,RL,2,1,1,1,1,1,1,524689,532461,528575,0,0,0,1,1,1,3,1,1,1,1,1,1,518332,515944,517138,0,0,0,1,1,1,3,3,3,3,3,3,3,418599,419623,419111,406,616,511,2,2,2,3,1,1,1,3,3,3,158453,160380,159416.5,0,0,0,2,2,2
T037A2,RL,2,1,1,1,1,1,1,258533,262319,260426,0,0,0,1,1,1,2,1,1,1,3,1,2,229004,232766,230885,0,0,0,2,1,1.5,2,1,3,2,3,3,3,193259,192058,192658.5,0,3081,1540.5,3,3,3,2,1,1,1,3,3,3,84667,89966,87316.5,0,0,0,2,2,2
T046B4,RL,3,3,3,3,1,1,1,241649,240149,240899,60,334,197,1,1,1,3,1,3,2,3,3,3,404734,420493,412613.5,0,360,180,2,2,2,3,3,3,3,3,3,3,170830,162034,166432,7116,5600,6358,3,3,3,3,1,3,2,3,3,3,39189,38925,39057,0,271,135.5,4,4,4
T060D,RL,1,NA,NA,NA,NA,NA,NA,119567,126509,123038,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,194635,196959,195797,0,0,0,1,1,1,2,1,1,1,3,3,3,78537,79481,79009,0,0,0,3,3,3,1,NA,NA,NA,3,3,3,9496,7046,8271,NA,0,0,4,4,4
T060E,RL,2,1,1,1,1,1,1,270336,284092,277214,0,0,0,1,1,1,1,1,1,1,1,1,1,92170,89784,90977,0,0,0,1,1,1,2,1,1,1,3,3,3,172943,179113,176028,0,0,0,3,3,3,2,1,1,1,3,3,3,123392,122256,122824,0,0,0,4,4,4
T073A1,RL,2,1,1,1,1,1,1,474545,474641,474593,0,0,0,1,1,1,2,1,1,1,1,1,1,204708,223594,214151,0,0,0,1,1,1,2,1,1,1,3,3,3,269687,273067,271377,0,0,0,3,3,3,2,1,1,1,3,3,3,121683,114095,117889,0,0,0,3,3,3
T073A2,RL,3,1,1,1,1,1,1,898525,905232,901878.5,0,0,0,1,1,1,3,1,1,1,1,1,1,809929,822032,815980.5,0,0,0,1,1,1,3,3,3,3,3,3,3,850983,841970,846476.5,18304,12418,15361,3,3,3,3,3,3,3,3,3,3,544716,554211,549463.5,4098,4315,4206.5,3,3,3
T100F,RL,1,1,1,1,1,1,1,35907,36377,36142,0,0,0,1,1,1,1,1,1,1,1,1,1,38369,39163,38766,0,0,0,1,1,1,1,1,1,1,3,3,3,31756,30884,31320,0,0,0,2,2,2,1,1,1,1,3,3,3,10732,11160,10946,0,0,0,2,2,2
T101A,RL,3,1,1,1,1,1,1,250661,254481,252571,0,0,0,1,1,1,3,1,1,1,1,1,1,341501,342553,342027,0,0,0,1,1,1,3,3,1,2,3,3,3,215332,213288,214310,78,0,39,3,3,3,3,1,1,1,3,3,3,65689,64943,65316,0,0,0,2,2,2
