OTU_ID,OB05_CA122A2,OB08_CA10,OB11_CA58A1,OB13_CA50B,OB18_CA51A3A,OB21_CA51A3,OB23_T046B4,OB25_T037A2,OB26_T037,OB29_T068C1,OB31_T023D3,OB32_T073A2,OB33_T073A1,OB35_T101B,OB37_T100F,FP_T101A_M_BC_OA,OB40_T060D,OB41_T060E
Zotu100,0,0,0,0,0,9,315,342,75,663,152,157,87,252,324,192,385,401
Zotu1001,5,0,0,0,0,0,18,6,0,5,4,6,25,15,4,7,3,7
Zotu1002,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1003,0,0,0,0,0,0,12,16,0,24,4,19,0,5,10,0,13,13
Zotu1004,0,0,0,0,0,0,0,0,6,13,0,3,0,19,0,11,0,15
Zotu1006,0,0,0,0,0,0,22,12,0,3,14,27,7,23,3,13,11,16
Zotu1008,0,0,0,0,0,0,12,8,5,0,0,0,0,32,11,19,0,7
Zotu101,0,0,11,0,3,0,444,554,209,272,81,75,68,151,363,323,401,710
Zotu1012,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1013,0,0,0,0,0,0,13,14,5,7,23,21,15,28,13,9,0,10
Zotu1016,0,11,0,7,0,3,0,0,5,0,0,0,0,0,0,10,0,0
Zotu1021,0,0,0,0,0,0,9,15,0,7,9,13,4,20,9,13,22,20
Zotu1023,0,0,0,4,7,32,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1028,0,0,0,0,0,0,9,4,0,13,9,0,12,3,17,13,11,13
Zotu1030,0,29,0,0,6,0,0,3,0,9,3,0,0,0,0,0,0,0
Zotu1034,0,0,0,0,0,0,20,6,5,7,19,13,7,11,21,7,0,17
Zotu1042,0,0,0,0,0,0,0,0,0,5,28,7,42,4,5,16,8,12
Zotu1044,0,0,0,0,0,0,0,6,13,20,3,0,15,17,3,28,4,31
Zotu1045,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,38,11,9
Zotu1046,0,0,0,0,0,0,17,33,4,11,10,12,7,9,0,5,0,0
Zotu1048,0,0,0,0,0,5,0,0,0,31,0,8,3,7,5,0,12,29
Zotu1049,0,0,0,0,0,0,0,9,0,11,7,10,0,29,27,0,3,14
Zotu1050,0,0,0,0,0,0,8,11,0,6,26,25,9,7,13,0,0,11
Zotu1052,0,0,0,0,0,0,26,0,0,0,0,13,0,0,0,0,26,0
Zotu1056,0,0,0,0,0,0,6,0,0,5,14,12,7,10,6,24,13,34
Zotu1059,0,0,0,0,60,0,0,0,0,0,0,7,0,0,11,0,13,0
Zotu1061,0,0,0,0,0,0,10,7,5,0,18,3,0,9,14,25,14,19
Zotu1063,0,7,11,12,3,31,4,11,0,4,0,8,7,9,16,0,4,0
