SampleID,Environment,WhaleID
OB05_CA122A2,Flukeprint,CA122A2
OB07_BL,Seawater,NA
OB08_CA10,Flukeprint,CA10
OB09_BL,Seawater,NA
OB11_CA58A1,Flukeprint,CA58A1
OB12_BL,Seawater,NA
OB13_CA50B,Flukeprint,CA50B
OB14_BL,Seawater,NA
OB18_CA51A3A,Flukeprint,CA51A3A
OB19_BL,Seawater,NA
OB21_CA51A3,Flukeprint,CA51A3A
OB22_BL,Seawater,NA
OB23_T046B4,Flukeprint,T046B4
OB24_BL,Seawater,NA
OB25_T037A2,Flukeprint,T037A2
OB26_T037,Flukeprint,T037A2
OB27_BL,Seawater,NA
OB29_T068C1,Flukeprint,T068C1
OB30_BL,Seawater,NA
OB31_T023D3,Flukeprint,T023D3
OB32_T073A2,Flukeprint,T073A2
OB33_T073A1,Flukeprint,T073A1
OB35_T101B,Flukeprint,T101B
OB37_T100F,Flukeprint,T100F
OB38_T101A,Flukeprint,T101A
OB39_BL,Seawater,NA
OB40_T060D,Flukeprint,T060D
OB41_T060E,Flukeprint,T060E
OB42_BL,Seawater,NA
