"","Whale.ID","S1.lesions.pixels.avg.omit1","S2.lesions.pixels.avg","S3.lesions.pixels.avg","S4.lesions.pixels.avg","S1.allpixels.avg.omit1","S2.allpixels.avg","S3.allpixels.avg","S4.allpixels.avg","S1.scar.score.avg","S2.scar.score.avg","S3.scar.score.avg","S4.scar.score.avg","lesions.pixels.total","all.pixels.total","percentlesions.total","S1.scarscore","S2.scarscore","S3.scarscore","S4.scarscore"
"1","CA10",81,34,1065,2775.5,153811.5,244275.5,100868,70308,1.5,1.25,3.5,3.75,3955.5,569263,0.694845791839624,"Mild","Mild","Severe","Severe"
"2","CA122A2",110.5,379.5,237.5,0,64885,55211.5,131945.5,54030.5,1.5,1.75,3,3,727.5,306072.5,0.237688782886408,"Mild","Mild","Moderate","Moderate"
"3","CA51A3",616.5,0,19369.5,5656,590515,244127,919664.5,530868,1,1,3,2,25642,2285174.5,1.12210249151651,"None","None","Moderate","Mild"
"4","CA51A3A",6427.5,22838.5,35452.5,7120.5,573887.5,426643,1129606.5,701461.5,1.5,1.5,1.75,2,71839,2831598.5,2.53704753693011,"Mild","Mild","Mild","Mild"
"5","T023D3",71.5,0,0,0,926079,1447239,778988.5,141696.5,1.5,1.5,3,4,71.5,3294003,0.00217061125930972,"Mild","Mild","Moderate","Severe"
"6","T037",15.5,0,716,0,662933,675216,530767.5,204381.5,1,1,2,2,731.5,2073298,0.0352819517503031,"None","None","Mild","Mild"
"7","T037A2",0,0,2849.5,76.5,1465506,927017,805425,143624,1,1.75,3,2.25,2926,3341572,0.0875635778609588,"None","Mild","Moderate","Mild"
"8","T046B4",8265.5,281,7970.5,4999,317436,425939.5,223216,118678,1.25,2,3,3.5,21516,1085269.5,1.98254903505535,"Mild","Mild","Moderate","Severe"
"9","T060D",0,0,0,0,151326.5,370421.5,205340.5,63310.5,1.5,1.25,3,3,0,790399,0,"Mild","Mild","Moderate","Moderate"
"10","T060E",0,0,763.5,511,480739,127819,338369.5,269710.5,1,1,3.5,3.5,1274.5,1216638,0.104755892878572,"None","None","Severe","Severe"
"11","T073A1",117.5,0,267.5,965.5,1194830,464041.5,642117,240867,1,1,2.5,3.5,1350.5,2541855.5,0.0531304788962236,"None","None","Moderate","Severe"
"12","T073A2",0,0,29445,11605.5,1724226.5,1751215,1794348,1046771,1,1.5,3,2.75,41050.5,6316560.5,0.649886912347313,"None","Mild","Moderate","Moderate"
"13","T100F",0,0,0,0,0,118744,139597,109384.5,1,1,2,2,0,367725.5,0,"None","None","Mild","Mild"
"14","T101A",0,0,39,0,312782,411648.5,238920,68067.5,1,1,2.25,3,39,1031418,0.00378120218960693,"None","None","Mild","Moderate"
"15","T101B",0,0,10303,8046,594128,349365.5,376397.5,560892.5,1,1,3.5,3.5,18349,1880783.5,0.975604050120601,"None","None","Severe","Severe"
