	T046B4	OB23-25_BL_1	T037A2	OB23-25_BL_2	T037	OB26_BL	T068C1	OB29_BL	T023D3	OB31-33_BL_1	T073A2	OB31-33_BL_2	T073A1	OB31-33_BL_3	T101B	OB35-38_BL_1	T100F	OB35-38_BL_2	T101A	OB35-38_BL_3	T060D	OB40-41_BL_1	T060E	OB40-41_BL_2
Genus_1	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Genus_2	1	10	8	10	0	18	0	0	0	0	0	0	0	0	4	10	0	10	4	10	0	5	6	5
Genus_3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_4	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Genus_5	78	104	89	104	420	676	55	19	9	0	0	0	2	0	72	95	33	95	189	95	45	28	44	28
Genus_6	8	6	11	6	12	33	0	17	2	0	0	0	0	0	11	10	5	10	18	10	11	0	10	0
Genus_7	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Genus_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Genus_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_10	0	7	1	7	0	0	2	11	2	0	4	0	0	0	18	4	8	4	0	4	2	6	5	6
Genus_11	0	0	0	0	0	0	0	0	0	3	0	3	0	3	0	0	0	0	0	0	0	0	0	0
Genus_12	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_13	2	0	0	0	4	6	2	7	0	0	0	0	0	0	0	2	3	2	1	2	1	0	2	0
Genus_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0
Genus_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Genus_17	5	6	10	6	8	1	2	9	5	27	4	27	12	27	6	6	14	6	3	6	10	10	11	10
Genus_18	13	18	7	18	21	2	13	0	2	0	3	0	6	0	3	0	0	0	2	0	8	1	0	1
Genus_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_20	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_21	0	9	0	9	0	3	0	0	0	0	0	0	0	0	3	3	4	3	7	3	5	0	1	0
Genus_22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0
Genus_23	0	0	0	0	0	0	1	21	0	0	6	0	0	0	5	0	5	0	0	0	4	2	2	2
Genus_24	9	2	8	2	7	4	0	6	0	0	0	0	5	0	3	7	11	7	1	7	1	2	3	2
Genus_25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Genus_26	0	0	3	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Genus_27	0	0	2	0	0	0	2	0	11	0	0	0	8	0	1	0	0	0	0	0	0	0	3	0
Genus_28	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Genus_29	2303	2192	1635	2192	1340	1541	2871	2091	2665	17	2734	17	2771	17	2488	2402	2793	2402	2662	2402	2463	2224	2866	2224
Genus_30	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	5	0	0	0	0	5	0	5
Genus_32	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_33	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0
Genus_34	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	3	2	0	0	0	0
Genus_35	0	3	7	3	6	0	2	6	0	3	1	3	4	3	0	0	1	0	2	0	5	0	0	0
Genus_36	5	1	1	1	0	9	5	0	0	0	0	0	0	0	7	14	11	14	13	14	2	2	12	2
Genus_37	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	1	0	1	5	3	2	3
