	CA122A2	OB05_BL	CA10	OB08_BL	CA58A1	OB11_BL	CA50B	OB13_BL	CA51A3A	OB18_BL	CA51A3	OB21_BL
Genus_1	0	0	0	0	0	0	0	0	0	0	0	0
Genus_2	0	0	0	0	0	0	0	0	0	0	0	0
Genus_3	0	0	0	0	0	0	0	0	0	0	0	0
Genus_4	0	0	0	0	0	0	0	0	0	0	0	0
Genus_5	0	0	0	0	0	0	0	0	0	0	0	0
Genus_6	0	0	0	0	0	0	0	0	0	0	0	2
Genus_7	0	0	0	0	0	0	0	0	0	0	0	0
Genus_8	0	0	0	0	0	0	0	0	0	0	0	0
Genus_9	11	0	0	0	0	0	0	0	0	0	0	0
Genus_10	0	0	0	0	0	0	0	0	0	0	0	0
Genus_11	0	0	0	0	0	0	0	0	0	0	0	0
Genus_12	0	0	0	0	0	0	0	0	0	0	0	0
Genus_13	0	0	0	0	0	0	0	0	0	0	0	0
Genus_14	0	0	0	0	0	0	0	9	0	0	0	0
Genus_15	0	0	0	0	0	0	0	0	0	0	0	0
Genus_16	0	0	0	0	0	0	0	0	0	0	0	0
Genus_17	5	2	5	15	3	4	11	4	30	6	5	2
Genus_18	0	0	0	0	6	0	0	0	0	0	0	0
Genus_19	0	0	0	0	2	3	0	0	0	0	0	0
Genus_20	0	0	0	0	0	0	0	0	0	0	0	0
Genus_21	0	0	0	0	0	0	0	0	0	0	0	0
Genus_22	0	0	0	0	0	0	0	0	0	0	0	0
Genus_23	0	0	0	0	0	0	0	12	0	10	10	1
Genus_24	0	0	0	0	1	5	0	0	0	0	0	0
Genus_25	0	0	0	0	0	0	0	0	0	0	0	0
Genus_26	0	0	0	0	0	0	0	0	0	0	0	0
Genus_27	0	0	0	0	0	0	0	0	0	0	0	0
Genus_28	0	0	0	0	0	0	0	0	0	0	0	0
Genus_29	5114	6620	2152	171	9557	11906	3640	1847	2381	5394	2331	2066
Genus_30	0	0	0	0	0	0	0	0	0	0	0	0
Genus_31	0	0	0	0	0	0	0	0	0	0	0	0
Genus_32	0	0	0	0	0	0	0	0	0	0	0	0
Genus_33	0	0	0	0	0	0	0	0	0	0	0	0
Genus_34	0	0	0	0	0	0	0	0	0	0	0	0
Genus_35	3	3	3	0	0	0	0	0	0	0	7	1
Genus_36	0	0	0	0	0	0	0	0	0	0	0	0
Genus_37	0	0	0	0	0	0	0	0	0	0	0	0
Genus_38	0	0	0	0	0	0	0	0	0	0	0	0
Genus_39	0	0	0	0	0	0	0	0	0	0	0	0
