SampleType,Genus
Flukeprint,Acidaminococcus
Flukeprint,Pseudaeromonas
Flukeprint,Aliiglaciecola
Flukeprint,Echinimonas
Flukeprint,Ferrimonas
Flukeprint,Pseudoalteromonas
Flukeprint,Shewanella
Flukeprint,Anaeroplasma
Flukeprint,BRC1_genera_incertae_sedis
Flukeprint,Gemella
Flukeprint,Carboxylicivirga
Flukeprint,Fermentimonas
Flukeprint,Geofilum
Flukeprint,Labilibaculum
Flukeprint,Maribellus
Flukeprint,Petrimonas
Flukeprint,Roseimarinus
Flukeprint,Saccharicrinis
Flukeprint,Bradymonas
Flukeprint,Hydromonas
Flukeprint,Noviherbaspirillum
Flukeprint,Pelomonas
Flukeprint,Variovorax
Flukeprint,Candidatus Cloacamonas
Flukeprint,Brevundimonas
Flukeprint,Microbulbifer
Flukeprint,Niastella
Flukeprint,Panacibacter
Flukeprint,Taibaiella
Flukeprint,Terrimonas
Flukeprint,Euglenida
Flukeprint,Granulosicoccus
Flukeprint,Wenzhouxiangella
Flukeprint,Butyricicoccus
Flukeprint,Clostridium IV
Flukeprint,Clostridium XlVb
Flukeprint,Hathewaya
Flukeprint,Mogibacterium
Flukeprint,Neglecta
Flukeprint,Oscillibacter
Flukeprint,Sporobacter
Flukeprint,Algoriphagus
Flukeprint,Desulforhopalus
Flukeprint,Yersinia
Flukeprint,Planktothrix
Flukeprint,Actibacter
Flukeprint,Aequorivita
Flukeprint,Bizionia
Flukeprint,Cellulophaga
Flukeprint,Dokdonia
Flukeprint,Empedobacter
Flukeprint,Eudoraea
Flukeprint,Lacinutrix
Flukeprint,Saonia
Flukeprint,Taeania
Flukeprint,Zobellia
Flukeprint,Propionigenium
Flukeprint,Gaiella
Flukeprint,Marinicella
Flukeprint,Gp3
Flukeprint,Gp7
Flukeprint,Carnobacterium
Flukeprint,Leuconostoc
Flukeprint,Cellulomonas
Flukeprint,Cryobacterium
Flukeprint,Pseudarthrobacter
Flukeprint,Subtercola
Flukeprint,Uruburuella
Flukeprint,Vitreoscilla
Flukeprint,Gallionella
Flukeprint,Leptospirillum
Flukeprint,Ketobacter
Flukeprint,Neptunomonas
Flukeprint,Actinobacillus
Flukeprint,Mannheimia
Flukeprint,Phycisphaera
Flukeprint,Thermostilla
Flukeprint,Agitococcus
Flukeprint,Pseudonocardia
Flukeprint,Anderseniella
Flukeprint,Bauldia
Flukeprint,Methylobacterium
Flukeprint,Methyloceanibacter
Flukeprint,Methylocystis
Flukeprint,Prosthecomicrobium
Flukeprint,Rhodopseudomonas
Flukeprint,Shinella
Flukeprint,Amaricoccus
Flukeprint,Epibacterium
Flukeprint,Loktanella
Flukeprint,Planktomarina
Flukeprint,Rubellimicrobium
Flukeprint,Shimia
Flukeprint,Dechloromonas
Flukeprint,Propionivibrio
Flukeprint,Uliginosibacterium
Flukeprint,Altererythrobacter
Flukeprint,Parasphingopyxis
Flukeprint,Polymorphobacter
Flukeprint,Pleomorphochaeta
Flukeprint,Actinoallomurus
Flukeprint,Terrimicrobium
Flukeprint,Leucothrix
Flukeprint,Thiomicrorhabdus
Flukeprint,WPS-2_genera_incertae_sedis
Flukeprint,Woesearchaeota Incertae Sedis AR16
Flukeprint,Luteimonas
Flukeprint,Rhodanobacter
Flukeprint,Xanthomonas
Seawater Control,Desertimonas
Seawater Control,Agarivorans
Seawater Control,Catenovulum
Seawater Control,Bacteriovorax
Seawater Control,Prolixibacter
Seawater Control,Casimicrobium
Seawater Control,Castellaniella
Seawater Control,Algimonas
Seawater Control,Haliea
Seawater Control,Fusibacter
Seawater Control,Monoglobus
Seawater Control,Paeniclostridium
Seawater Control,Proteocatella
Seawater Control,Arcicella
Seawater Control,Aureibacter
Seawater Control,Flectobacillus
Seawater Control,Deferrisoma
Seawater Control,Desulfatiglans
Seawater Control,Desulfoconvexum
Seawater Control,Raoultella
Seawater Control,Candidatus Carsonella
Seawater Control,Ignatzschineria
Seawater Control,Gp25
Seawater Control,Kordiimonas
Seawater Control,Weissella
