OTU_ID,OB05_CA122A2,OB08_CA10,OB11_CA58A1,OB13_CA50B,OB18_CA51A3A,OB21_CA51A3,OB23_T046B4,OB25_T037A2,OB26_T037,OB29_T068C1,OB31_T023D3,OB32_T073A2,OB33_T073A1,OB35_T101B,OB37_T100F,OB38_T101A,OB40_T060D,OB41_T060E,,,
Zotu1338,0,0,0,0,0,0,8,0,0,22,0,0,0,10,26,9,4,16,,,
Zotu1414,34,8,14,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,,,
Zotu1723,47,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OB05_CA122A2,16
Zotu1846,0,0,0,0,0,0,47,0,0,11,0,0,0,0,0,0,0,0,,OB08_CA10,5
Zotu1907,0,0,0,5,0,0,4,0,0,0,15,0,4,0,3,0,0,0,,OB11_CA58A1,13
Zotu1914,0,0,0,0,0,0,5,8,0,3,4,0,14,0,0,4,0,7,,OB13_CA50B,13
Zotu1929,18,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,4,5,,OB18_CA51A3A,6
Zotu1945,0,0,0,0,0,0,5,0,0,22,0,0,0,6,0,0,3,11,,OB21_CA51A3,15
Zotu1949,0,0,0,0,0,0,11,0,0,0,15,0,3,0,0,0,10,6,,OB23_T046B4,58
Zotu1956,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OB25_T037A2,56
Zotu2014,0,0,0,0,0,0,0,0,3,10,0,0,0,5,0,0,9,8,,OB26_T037,26
Zotu2018,12,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,OB29_T068C1,112
Zotu2025,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,19,6,14,,OB31_T023D3,70
Zotu2095,0,0,0,0,0,0,15,4,0,0,12,0,0,0,0,0,3,8,,OB32_T073A2,52
Zotu2163,0,0,0,0,0,0,0,0,4,0,0,0,0,0,22,0,0,10,,OB33_T073A1,60
Zotu2172,0,0,0,0,0,0,0,0,0,0,6,0,0,11,0,0,3,14,,OB35_T101B,124
Zotu2227,0,0,0,0,0,0,16,0,0,0,7,3,8,3,0,0,0,4,,OB37_T100F,114
Zotu2258,0,0,0,0,0,0,5,4,0,0,3,0,0,5,5,0,3,7,,OB38_T101A,113
Zotu2287,0,0,0,0,0,0,0,10,0,3,10,0,8,0,0,0,0,7,,OB40_T060D,88
Zotu2305,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OB41_T060E,131
Zotu2333,0,0,30,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,
Zotu2352,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,,,
Zotu2361,0,0,0,0,0,0,0,0,0,6,6,0,0,0,5,5,4,8,,,
Zotu2374,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Zotu2385,0,0,0,0,0,0,0,0,7,4,0,0,0,4,0,0,12,5,,,
