Region,lesions.pixels.avg,allpixels.avg,scarscore.cat,scarscore.num.updated,scarscore.num,scarscore.freq,scarscore.freq.freq,scarscore.freq.updated,Whale.ID,Location,scarscore.avg
1,81,153811.5,Mild,2,1,50,12.5,33.33333333,CA10,CA,1.5
1,110.5,64885,Mild,2,1,50,12.5,33.33333333,CA122A2,CA,1.5
1,616.5,590515,None,1,0,25,0,0,CA51A3,CA,1
1,6427.5,573887.5,Mild,2,1,50,12.5,33.33333333,CA51A3A,CA,1.5
1,71.5,926079,Mild,2,1,50,12.5,33.33333333,T023D3,BC,1.5
1,15.5,662933,None,1,0,25,0,0,T037,BC,1
1,0,1465506,None,1,0,25,0,0,T037A2,BC,1
1,8265.5,317436,Mild,2,1,50,12.5,33.33333333,T046B4,BC,1.25
1,0,151326.5,Mild,2,1,50,12.5,33.33333333,T060D,BC,1.5
1,0,480739,None,1,0,25,0,0,T060E,BC,1
1,117.5,1194830,None,1,0,25,0,0,T073A1,BC,1
1,0,1724226.5,None,1,0,25,0,0,T073A2,BC,1
1,0,0,None,1,0,25,0,0,T100F,BC,1
1,0,312782,None,1,0,25,0,0,T101A,BC,1
1,0,594128,None,1,0,25,0,0,T101B,BC,1
2,34,244275.5,Mild,2,1,50,12.5,33.33333333,CA10,CA,1.25
2,379.5,55211.5,Mild,2,1,50,12.5,33.33333333,CA122A2,CA,1.75
2,0,244127,None,1,0,25,0,0,CA51A3,CA,1
2,22838.5,426643,Mild,2,1,50,12.5,33.33333333,CA51A3A,CA,1.5
2,0,1447239,Mild,2,1,50,12.5,33.33333333,T023D3,BC,1.5
2,0,675216,None,1,0,25,0,0,T037,BC,1
2,0,927017,Mild,2,1,50,12.5,33.33333333,T037A2,BC,1.75
2,281,425939.5,Mild,2,1,50,12.5,33.33333333,T046B4,BC,2
2,0,370421.5,Mild,2,1,50,12.5,33.33333333,T060D,BC,1.25
2,0,127819,None,1,0,25,0,0,T060E,BC,1
2,0,464041.5,None,1,0,25,0,0,T073A1,BC,1
2,0,1751215,Mild,2,1,50,12.5,33.33333333,T073A2,BC,1.5
2,0,118744,None,1,0,25,0,0,T100F,BC,1
2,0,411648.5,None,1,0,25,0,0,T101A,BC,1
2,0,349365.5,None,1,0,25,0,0,T101B,BC,1
3,1065,100868,Severe,4,3,100,37.5,100,CA10,CA,3.5
3,237.5,131945.5,Moderate,3,2,75,25,66.66666667,CA122A2,CA,3
3,19369.5,919664.5,Moderate,3,2,75,25,66.66666667,CA51A3,CA,3
3,35452.5,1129606.5,Mild,2,1,50,12.5,33.33333333,CA51A3A,CA,1.75
3,0,778988.5,Moderate,3,2,75,25,66.66666667,T023D3,BC,3
3,716,530767.5,Mild,2,1,50,12.5,33.33333333,T037,BC,2
3,2849.5,805425,Moderate,3,2,75,25,66.66666667,T037A2,BC,3
3,7970.5,223216,Moderate,3,2,75,25,66.66666667,T046B4,BC,3
3,0,205340.5,Moderate,3,2,75,25,66.66666667,T060D,BC,3
3,763.5,338369.5,Severe,4,3,100,37.5,100,T060E,BC,3.5
3,267.5,642117,Moderate,3,2,75,25,66.66666667,T073A1,BC,2.5
3,29445,1794348,Moderate,3,2,75,25,66.66666667,T073A2,BC,3
3,0,139597,Mild,2,1,50,12.5,33.33333333,T100F,BC,2
3,39,238920,Mild,2,1,50,12.5,33.33333333,T101A,BC,2.25
3,10303,376397.5,Severe,4,3,100,37.5,100,T101B,BC,3.5
4,2775.5,70308,Severe,4,3,100,37.5,100,CA10,CA,3.75
4,0,54030.5,Moderate,3,2,75,25,66.66666667,CA122A2,CA,3
4,5656,530868,Mild,2,1,50,12.5,33.33333333,CA51A3,CA,2
4,7120.5,701461.5,Mild,2,1,50,12.5,33.33333333,CA51A3A,CA,2
4,0,141696.5,Severe,4,3,100,37.5,100,T023D3,BC,4
4,0,204381.5,Mild,2,1,50,12.5,33.33333333,T037,BC,2
4,76.5,143624,Mild,2,1,50,12.5,33.33333333,T037A2,BC,2.25
4,4999,118678,Severe,4,3,100,37.5,100,T046B4,BC,3.5
4,0,63310.5,Moderate,3,2,75,25,66.66666667,T060D,BC,3
4,511,269710.5,Severe,4,3,100,37.5,100,T060E,BC,3.5
4,965.5,240867,Severe,4,3,100,37.5,100,T073A1,BC,3.5
4,11605.5,1046771,Moderate,3,2,75,25,66.66666667,T073A2,BC,2.75
4,0,109384.5,Mild,2,1,50,12.5,33.33333333,T100F,BC,2
4,0,68067.5,Moderate,3,2,75,25,66.66666667,T101A,BC,3
4,8046,560892.5,Severe,4,3,100,37.5,100,T101B,BC,3.5
